isocode,date,totalvaccinations,peoplevaccinated,peoplefullyvaccinated,totalboosters,dailyvaccinationsraw,dailyvaccinations,totalvaccinationsperhundred,peoplevaccinatedperhundred,peoplefullyvaccinatedperhundred,totalboostersperhundred,dailyvaccinationspermillion,dailypeoplevaccinated,dailypeoplevaccinatedperhundred
can,2021,33331023.77260274,19094776.425824177,13732563.079452055,528658.574074074,188329.79726027398,185779.81643835615,86.67687671232876,49.65590659340659,35.71131506849315,1.374506172839506,4831.1972602739725,86629.10684931507,0.22527397260273974
can,2022,86064119.67977528,33022456.670068026,31234482.55652174,21798291.571022727,77368.49714285714,77763.4712328767,223.80862359550562,85.87469387755102,81.2246956521739,56.686448863636365,2022.213698630137,8015.279452054794,0.020849315068493152
can,2023,98389921.20571429,34684475.64,31745481.72,31795377.785310734,16580.468023255813,15964.05205479452,255.86177142857142,90.1964,82.5544,82.68338983050847,415.14520547945204,4933.4,0.01292
can,2024,102480839.68571429,1755701.5,1541441.8421052631,34565035.32183908,3530.7964071856286,3835.970873786408,266.50034285714287,45.03286885245902,39.972812499999996,89.88586206896552,99.76699029126213,1084.4875428082191,0.027193150684931507
che,2020,2268.2,2223.6,1541441.8421052631,555673.6153846154,594.25,382.7,0.025,0.025,39.972812499999996,16.012478386167146,43.7,374.6,0.0043
che,2021,6484759.547945205,3445832.9616438355,1541441.8421052631,135962.64383561644,37917.9698630137,37491.13150684931,74.19235616438357,39.42421917808219,39.972812499999996,1.5543013698630137,4289.372602739726,16320.326027397261,0.18673424657534246
che,2022,15864640.546478873,6080623.03943662,1541441.8421052631,3914175.5070422534,8689.243478260869,8730.495890410959,181.50769014084509,69.56867605633803,39.972812499999996,44.78214084507042,998.8794520547946,370.1945205479452,0.004175342465753425
che,2023,16928711.90797546,6096423.656441717,1541441.8421052631,4877998.45398773,426.43356643356645,361.04347826086956,193.68196319018404,69.74766871165644,39.972812499999996,55.80932515337423,41.34239130434783,8.543478260869565,0
chl,2020,5651.5,5651.5,1541441.8421052631,555673.6153846154,2742.6666666666665,2545.5714285714284,0.0275,0.0275,39.972812499999996,16.012478386167146,129.85714285714286,2545.5714285714284,0.012857142857142857
chl,2021,22326961.673239436,11036637.46197183,9623262.977077363,5253878.368055556,127274.73850574713,120081.7890410959,113.89132394366197,56.29856338028169,49.0889111747851,26.800555555555555,6125.460273972602,47286.44383561644,0.2412082191780822
chl,2022,56684173.73076923,17937979.96153846,17475723.662087914,21845066.972527474,50435.650137741046,51457.098630136985,289.14975274725276,91.50252747252748,89.145,111.43321428571429,2624.8986301369864,2232.7424657534248,0.011391780821917809
chl,2023,62873990.666666664,18085894.162162162,17698039.72972973,27449179.35135135,1776.3055555555557,11692.977961432507,320.7238461538461,92.25756756756756,90.27864864864866,140.01918918918918,596.1019283746557,140.15384615384616,7.948717948717948e-4
chn,2020,3000000,1755701.5,1541441.8421052631,555673.6153846154,10435,187500,0.215,45.03286885245902,39.972812499999996,16.012478386167146,131,1084.4875428082191,0.027193150684931507
chn,2021,1491784673.559322,1062551500,1070389222.2222222,74007000,9700242.95774648,7650299.205479452,104.62108474576272,74.51666666666667,75.06833333333333,5.19,5365.271232876712,3210525.9264705884,0.22492647058823528
chn,2022,3324498052.0547943,1284132000,1249288342.1052632,729932468.75,1760991.7808219178,1860110.002739726,233.15301369863013,90.05828571428572,87.61526315789473,51.19125,1304.5342465753424,134968.88767123286,0.009394520547945205
chn,2023,3484693529.4117646,1310210200,1276557800,826530800,766461.5384615385,388953.575,244.38764705882352,91.888,89.526,57.966,272.75,40557.1,0.0029000000000000002
civ,2021,954639.9054726368,663969.464516129,989081.5,555673.6153846154,12456.921212121211,22134.868852459018,3.3900995024875624,2.358,3.512142857142857,16.012478386167146,786.0688524590164,15384.754098360656,0.054504918032786884
civ,2022,11959503.344827587,8201657.9,5970046.571428572,838892.4615384615,37219.666666666664,47101.747945205476,42.468620689655175,29.1235,21.20095238095238,2.976923076923077,1672.545205479452,23405.649315068495,0.08313150684931507
civ,2023,24652776.666666668,13466110.333333334,12058036,2756693.3333333335,10435,24621.96,87.54333333333332,47.81666666666666,42.82,9.790000000000001,874.18,6411.14,0.02258
cmr,2021,384899.44897959183,317380.8775510204,144330.89130434784,555673.6153846154,5145,3862.431818181818,1.3789795918367347,1.136530612244898,0.5171739130434783,16.012478386167146,138.3219696969697,3159.5189393939395,0.011310606060606061
cmr,2022,2085210.5,1586455.619047619,1251453.619047619,140441.82352941178,10435,8276.575342465754,7.469545454545455,5.682857142857143,4.482857142857143,0.5041176470588236,296.4164383561644,6731.28493150685,0.02418082191780822
cmr,2023,4571846.769230769,3635728.9,3086945.7,666068,10435,2907.8125,16.37846153846154,13.024,11.058,2.3869230769230767,104.11805555555556,1602.375,0.005756944444444445
cod,2021,127657.61363636363,102921.71052631579,43165.5,555673.6153846154,42303,1203.4280155642023,0.12954545454545455,0.10342105263157896,0.044,16.012478386167146,12.116731517509727,932.4552529182879,8.67704280155642e-4
cod,2022,3075948.125,2791365.48,1720185.043478261,555673.6153846154,10435,28357.312328767122,3.1058333333333334,2.818,1.7373913043478262,16.012478386167146,286.35616438356163,26179.739726027397,0.02647945205479452
cod,2023,15123002,14046465,11823622,555673.6153846154,10435,51626.54838709677,15.274285714285714,14.187142857142856,11.941666666666666,16.012478386167146,521.5806451612904,46127.4,0.046658064516129034
cog,2021,298406.6551724138,228685.57142857142,114755.88235294117,555673.6153846154,1486,2853.7088122605364,4.998620689655173,3.8296428571428573,1.9217647058823528,16.012478386167146,477.97318007662835,2332.6436781609195,0.039088122605363984
cog,2022,826589,688786.25,631444.8,555673.6153846154,10435,361.3490566037736,13.844444444444445,11.536249999999999,10.578,16.012478386167146,60.589622641509436,354.7122641509434,0.005919811320754717
cok,2021,17467.75,10218.583333333334,8699,555673.6153846154,10435,103.54545454545455,102.55916666666667,59.99666666666667,51.076,16.012478386167146,6079.45,46.39545454545455,0.27240909090909093
cok,2022,32031.214285714286,14528.5,13780,10119.8,10435,41.865753424657534,188.065,85.3,80.90714285714286,59.416,2458.1808219178083,5.761643835616439,0.03386027397260274
cok,2023,40854,15112,14728,10240,10435,1,239.87,88.73,86.47,60.12,59,0,0
col,2021,25384736.364705883,14621168.575129533,11803677.61038961,3024875.888888889,196714.46829268293,202651.64668769715,48.93529411764706,28.185958549222796,22.754415584415586,5.831111111111111,3906.6246056782334,128551.33447098976,0.24783617747440273
col,2022,76992136.18390805,41019073.2345679,33233160.068965517,8511923.735632183,199276.82,70480.26301369863,148.42149425287357,79.0741975308642,64.06540229885057,16.40873563218391,1358.6712328767123,12829.386301369863,0.024726027397260274
col,2023,90347078.33333333,42973057.833333336,36997347,14727813.5,10435,2729.716253443526,174.165,82.84333333333333,71.32166666666667,28.391666666666666,52.730027548209364,236.93939393939394,5.261707988980717e-4
com,2021,257527.88,162200.80952380953,117035.8,555673.6153846154,10435,2223,30.7752,19.385238095238094,13.9865,16.012478386167146,2656.6062992125985,1254.3818897637796,0.14990551181102363
com,2022,693856.5555555555,377489,331163.8888888889,555673.6153846154,10435,944.6472727272727,82.91888888888889,45.11111111111111,39.57555555555555,16.012478386167146,1128.9054545454546,400.84727272727275,0.04792
